Artificial Inteligence 1
interleave|разнообразявам
policy|политика
contingent|случайност
instance|пример
reasoning|мислещ
qualitative|количествен
query|запитване
junction|съединение
faucet|кранче
coupling|свързване
lazy|мързелив
lager|алчен
generalize|обобщение
assignment|възлагане
fooling|измамвам
amenable|податлив
prevail|надделее
stab|усилие
pursuit|занимание
caveat|протест
adopt|приеме
resurgence|активизиране
decent|скромен
groceries|бакалия
worth|струващ
surgical|оперативен
oak|дъб
threatend|заплашвам
vain|суетен
crow|гарван
swallow|гълтам
surpass|надмине
penalize|наказвам
omniscent|всезнаещ
steer|насочвам
gauge|размер
utility|полза
evolve|развивам
deteur|отклонение
dirt|мръсотия
successor|наследник
fringe|ограждам
admissible|допустим
suboptimal|неоптимален
breadth|широчина
annealing|наслагване
irrelevant|неуместен
pairwise|двойки
landscape|пейзаж
gradually|постепенно
recruit|новобранец
site|разполагам
backtrack|отстъпвам
preference|предпочитание
propagate|размножавам
assign|възлагам
arc|дъга
prune|окастря
violate|нарушавам
narrow|тесен
quiescence|покой
suffice|е достатъчно
reign|царуване
commonsense|здрав разум
heap|купчина
fork|разклонявам се
