Artificial Inteligence 2
rigorous|строг
inference|извод
assist|подпомага
military|военен
relevant|уместен
exhaustive|изчерпателен
backward|назад
instantiate|представям с конкретни примери
precondition|предпоставка
spurious|фалшив
irrelevant|неуместен
predecessor|предешественик
undo|премахвам
branch|разклонявам се
admissible|допустим
commitment|задължение
partial|частичен
causal|причинен
gradually|постепенно
vague|неясен
axle|ос
inequality|неравенство
inference|заключение
immense|огромното
falsehood|лъжа
freeway|магистрал
intact|непокътнат
overnight|през ноща
fudge|глупости
subjective|субективен
cuisine|кухня
imply|преполага
violate|наруши
regardless|независимо
cavity|кухина
mutually|взаимно
assignment|назначение
tothache|зъбобол
overfitting|прекомерно нагаждане
reinforce|засили
ommiscience|всезнание
supervise|надзирава
razor|бръснач
disjunctive|дизюнктивна
realizable|реализируем
redundant|излишен
prune|окастрям
harmful|вреден
posteriori|последващ
flavour|вкус
intractable|упорит
unwrap|отварям
variance|разлика
fit|годен
spike|острие
squashed|смачкани
steepness|стръмност
cliff|стръмна скала
prick|убождам
converge|клоня
ridge|хребет
epoch|период
diverge|отклонявам
elaborate|сложен
dimensionality|размерност
curse|проклятие
fuzzy|неясен
assertion|твърдение
devote|посвещавам
impose|налагам
undertake|предприеме
partitioning|подялба
divisive|разделение
distortion|изкривяване
scatter|разпръска
