Wining Big Poker List 1
overzealous|фантазиран
favorable|благоприятен
bother|безпокоя
sought|искам
as well|също
by|от
reside|прибивавам
authority|авторитет
beside|освен
attribute|определение
income|доход
conviently|удобно
pursue|преследвам
commerce|търговия
definitive|окончателен
credit|доверие
extract|извадка
rung|стъпало
totem|символ
loose|разпускам
abysmally|бездънно
path|път
shunned|отбягвам
viable|осъществим
warn|предупреждавам
stem|произхождам
anticipate|очаквам
stick|забождам
urge|подтик
precarious|несигурен
ubiquitous|който се среща навсякъде
tailor|приспособявам
artwork|произведение на изкуството
trouble some|неприятен
increment|увеличение
ailment|заболяване
glitch|бъг
occasional|рядък
non-self|не свой
literate|грамотен
worthwile|си заслужава
quantifies|определям количествено
relinquish|се откаже
parentheses|скоби
denote|означаваме
rag|парцал
retraction|прибиране
draw|изваждам
eschew|отбягвам
guideline|насока
notoriously|пословично
loose|хлабав
crap|глупости
equate|уравнявам
patron|редовен клиент
craps|играя на зарове
edge|предимство
rate|скорост
commensurate|съизмерим
longshot|далечен изстрел
cool|хладнокръвие
doom|губел|осъждам
egregious|нечуван
appeal|привлекателност
harry|тормозя
slightly|малко
motion|движение
careen|накланяне
yet|но
consistent|последователен
outcome|изход
divorce|разделям
miracle|чудо
recipient|получател
drawnout|извадени
terrific|огромен
stove|печка
backward|охотен
rate|скорост
vice|недъг
plumnet|спадам рязко
prior|преди
nonsense|глупости
fascinate|смайвам
