Wining Big Poker List 2
counterpart|двойник
exemption|освобождаване
long-winded|все пак
stick to|придържам се към
though|все пак
abbreviating|съкращавам
harmless|безвреден
outcome|резултат
die|зар
roll|търкалям
land|падам
afford|позволим
solely|единствено
bust|фалирал
likewise|също
quantify|количествено
ruin|разруха
reckless|безрасъден
catchy|привидно лек
platitude|баналност
draw|изтеглям
inferior|нисш
fair|честен
fortunate|късмет
oblige|принуждава
virtually|на практика
bother|безпокоя
favourable|благоприятен
relinquish|се откаже
reverse|объщам
measly|болен от шарка
nowever|обаче
coincide|съвпада
lay|поставям
equity|справедливост
forfeit|неустойка
claim|изисквам
grant|давам
cancel|отменям
squiggle|завъртулка
latitude|приложимост
backed|огрян
grant|дарение
liability|отговорност
cripple|осакатявам
overzealous|фантазирам
shape|форма
cure|лек
ailment|неразположение
glitch|бъг
ascribe|отдайте
recure|повтори
scramble|разбърквам
conspire|заговорнича
prior|преди
lag|закъснение
two-outter|две външни
haywire|накриво
prone|склонен
bizarre|странен
incline|склонен съм
egregious|нечуван
overcome|преодолявам
otherwise|другояче
as many|колкото повече
drain|изтощаване
tend|склонен
modestly|скромно
trend|тенденция
though|въпреки че
downward|по-късен
merely|просто
recover|бъзвръщам
contest|състезание
generous|богат
toss|хвърлям чоп
powerhouse|източник на власт
comprise|включват
discard|изхвърлете
favored|привилегирован
powerful|мощен
presence|наличие
leverages|начин за постигане на цел
fit|подхождам
make up|обезщетявам
quintessential|типичен
davalues|обезценявам
prevail|надделее
offense|атака
worst|най-лошо
community|общност
