Wining Big Poker List 3
pick up|вземам
constant|постоянна
prospect|перспектива
present|настояще
exemption|освобождение
wading|нагазвам
wittingly|преднамерено
overcome|преодолеят
wander|скитам
incline|склон
exposure|подлагане
dreadful|страшен
flat|прав
shape|състояние
unimaginative|без въображение
pad|подложка
deteminal|вреден
spot|място
favorably|благосклонно
bail|гаранция
hatch|щрих
crush|смачкване
neverthless|въпреки това
assiduously|усърдно
meantime|междувременно
digest|смилам
texture|строеж
preference|предпочитание
outstand|явни
chiefly|главно
fare|изкарвам
somewhat|до известна степен
occasional|случаен
lure|примамка
strengthen|усилвам
notwithstanding|въпреки всичко
inprove|подобен
fewer|по-малко
broadway|a large open or main road
inherent|присъщ
thought-out|обмислен
contemplate|съзерцавам
complex|сложен
relegate|изхвърлям
oft-state|често
thrive|преуспявам
vast|огромен
majority|мнозинство
nonetheless|въпреки това
homorrhage|кръвоизлив
emulate|съревновавам се
give up|предавам се
so far|досега
as long|докъто
trade-off|размяна
zealously|ревностно
sacrifice|жертва
gap|празнина
nightmare|кошмар
profitability|рентабилност
unlikely|малко вероятно
cut down|отсичам
caps|слагам шапка
stray|заблуден
afterthought|допълнение
wage|заплата
