NoteBook стр. 4 Poker Sclansky
frustrate|разочаровам
natural|естествен
bite|ухапване
foreign|чужд
bring|въвеждат
nuggets|хапки
glaze|гланцирам
rigid|здрав
foundation|фундамент
skim|едва докоснат
intentional|умишлено
bit|малко
manuscript|ръкопис
assign|определям
shaky|съмнителен
superior|изключителен
favourite|любим
resurgence|активизиране
ratio|съотношение
paramount|първостепенен
accomplish|постигне
relevant|съответен
effective|действителен
neat|чист
devote|посвещавам
literally|буквално
neglect|пренебрегвам
mediocre|посредствен
acquire|придобивам
endeavor|усилие
keenly|остро
crack|цепнатина
scratche|драскотина
glory|слава
produce|изработвам
hang up|спирам
arid|безплоден
notion|понятие
necessitate|изисква
perpetually|вечно
foresee|предвиждам
sticky|проблематичен
fairly|сравнително
so-so|горе-долу
prone|склонен
noteworthy|забележителен
hone|точило
expose|излагам
exploit|използвам
vary|променям
crush|смачквам
haul|теглене
snap|щраквам
scatter|пръскам се
least|най-малко
largely|до голяма степен
adept|умел
ordinary|обикновен
snookered|затруднен
intend|планирам
imperfect|несъвършен
remote|отдалечен
dodge|отбягвам
likelihood|възможност
aggregate|общо
accurate|прецизен
thwart|осуети
excess|прекаляване
assign|определям
assume|предполагам
straight|директен
encounter|сблъскване
please|угаждам се на някого
rightmost|дясната
outcome|резултат
worth|заслужава си
former|шаблон
later|последен
worthless|безполезен
taint|замъсявам
otherwise|в противен случай
intentional|умишлен
delve|ровя
would|ще
marginаl|краен|предел
sandbag|насилвам
modest|скромен
counterintuitive|нелогично
willing|склонен
curious|любопитен
mundane|обикновен
throughout|в течение на
unlike|противно на
appear|изглеждам
reckon|смятам
piddling|незначителен
lesser|по-малък
guts|черва
postulate|предполагам
deny|отричам
asset|предимство
gateway|врата
wealth|благосъстояние
alike|поравно
plenty|достатъчно
replay|повтарям
crucial|решаващ
comprise|съдържа
regular|редовен
vent|вятър
