NoteBook стр. 1 Софтуерно Инженерство
managment|ръководство
constraint|ограничение
reflect|отразявам
serve|служат за
find out|откривам
term|термин
extreme|крайност
let|позволявам|пускам
predefined|предварителоно зададен
contractor|предприемач
fail|провал
distinguish|разграничавам
to mean|имам предвид
exactly|точно
distinction|разграничение
mental|умствен
care|грижа
quite|съвсем
general|основен
prescribe|предпише
report|отчет
summary|резюме
facilities|удобства
concurrently|едновременно
explicitly|изрично
state|посочвам
offered|предлагам
impose|налагам
feature|особенност
clear-cut|ясно очертани
maintain|поддържане
derive|извлечен
set out|излагам
miss out|изпускам
appointment|уречен час
attend|присъствам
cause|повод
rationale|обосновка
confuse|обърквам
irrespective|независимо
contradictory|противоречив
affect|засегне
emerge|се появят
emergent|неочаквано
relate|отнасят
occupancy|обитаване
diffuse|разпръснат
interoperability|оперативна съвместимост
privacy|поверителност
legislation|законодателство
broad|широк
heading|направление
downtime|престой
exceed|превишава
provision|осигуряване
authority|власт
swipe|неточен удар
conform|съответства
issue|проблем
propose|предлагам
intention|намерение
scope|обхват
at least|поне
qualitatively|количествено
corrupt|развален
robust|здрав
justify|оправдае
request|заявка
generic|общ
neverthless|въпреки това
military|военен
confident|уверен
out of date|старомоден
ranging|вариращи
compromise|споразумение
evolution|развитие
anticipate|очаквам
naturally|естествено
out many|много от тях
suggest|споменавам
judgment|предценка
preface|предговор
glossary|терминологичен речник
appendices|приложения
comprehensive|подробен
background|произход
fit|съответства
overall|цялостен
commission|упълномощавам
anticipate|очаквам
avoid|отбягвам
index|показател
write down|записвам
ideally|теоритично
design|проектирам
make up|приготвям
feature|особенност
supplement|добавка
reluctant|несклонен
sequence|последователност
