NoteBook стр. 7 Sclansky/Pokerstars
sense|смисъл
baloney|безсмислица
intristic|съществен
dispell|прогонвам
cripple|осакатява
clerk|чиновник
plenty|достатъчно
handicap|недъг
intrisric|съществен
detor|възпирам
annoy|досаждам
expense|разходи
accumulation|натрупване
whatsoever|as all(for emphasis)
grind|работя усилено
harness|обуздавам
fall|падане
overcome|преодолявам
due|в следствие
newness|новост
afford|позволим
edge|част далече от центъра
slash|съкращавам
remarkable|забележителен
stigma|клеймо
frighteningly|плашешто
dozen|дузина
sensitivity|чувствителност
aspring|амбициозен
flum|нещо лошо
leak|теч
interpolate|намирам средна величина
commitment|задължение
adhere|придържам
regardless|независимо то това
faced|изправени
keeps|държи
no-brainer|лесно
relies|разчита
through|през
confidence|увереност
comprise|съдържа
vent|отдушник
thread|нишка
habit|навик
quirk|странност
whizz|факир
by far|досега
bear|нося
unless|освен когато
conceal|крия
volatile|жив
in short|накратко
spread|разпространение
knock out|елеминирам
wave|размахвам
proceed|продължавам
markedly|подчертано
compulsory|задължителен
so called|така наречените
community|общност
satisfactory|задоволително
solely|единствено
in turn|поред
claim|претенция
obssess|овладян
progress|напредък
accrue|натрупвам
likewise|по същия начин
force|принуден
adept|адаптира
suit|допадам на
grasp|схващане
sparingly|пестеливо
decide|реши
squander|разпилявам
novices|начинаещи
compound|съединявам
ladder|стълба
rank|категория
beware|внимавай
evalute|оценка
decisive|решаващ
bent|склонност
namely|а именно
out-and-out|съвършен
quite|напълно
wary|предпазлив
contrast|разлика
tighten|затегне
proceed|продължавам
grasp|схващане
texture|строеж
spend|харча
presently|по-настоящем
preserve|резервират
sticky|проблематичен
unwitting|незнаещ
dig|копка
bucket|кофа
accidentally|случайно
crude|суров
existent|съществуващ
vary|променям
inform|информирам
deviate|отклонява
