NoteBook стр. 6 Poker Sclansky
stab|опит
former|предишен
grant|отпускане
uncommon|рядък
breed|порода
fringe|елементарни положения
internalize|придавам субективен характер на
thorougly|старателно
blur|замъглявам
wrench|дърпам силно гаечен ключ
elaborate|изработвам
rule|управлявам
prone|склонен
rediculous|смешен
unearth|откривам
fill up|попълвам
overvalue|надценявам
pertient|уместен
nutshell|накратко
exorbitant|прекомерен
implication|въвличане
sudden|внезапен
held|държа
sake|оризова хартия
bundle|пакет
either|един|всеки
preemptively|изпреварващо
notably|по-специално
consummate|ненадминат
preempt|замествам
requisite|необходимата
overuse|прекалена употреба
savvy|акъл
proverbial|всеизвестен
goose|гъска
allude|намеквам
square|честно
blunt|изтъпен
devastate|опропастяване
integral|съществен
prohibitively|възпрепятстващо
oaf|глупак
daft|луд
deploy|разгръщам
end up|оказа се
negate|отричам
beside|освен
rope-a-dope|a boxing tactic pretent to be trapped going to throw tire opponent punches
aside|настрана
though|все пак
leak|изтичане
loathe|мразя
enamor|очаровам
crush|смачквам
essence|същина
arouse|събуждам
stubbornness|упоритост
ironclad|броненосец
suffer|търпя
awfull|ужасно
pigeonhole|определям
apparent|очевиден
opt|избирам
wiser|умен
renew|подновявам
judiciously|благоразумно
junk|боклуци
cunning|хитър
chop|пържола
fleec|стрита
virtually|на практика
lot|парцел
cautious|препазлив
intend|планирам
advocate|застъпник
overly|прекомерно
ferociously|яростно
bonanza|златна мина
largly|до голема степен
bias|отклонение
toward|по-посока
excruciatingly|мъчително
spooked|стреснати
sleeve|ръкав
heavily|силно
stuff|боклуци
exhibit|показвам
complain|оплаквам
garbage|боклук
coexist|съществувам съвместно
fit|годен
toss|хвърляне
awry|накриво
tie|завързва
reasonably|разумно
rely|разчитам
perseverance|постоянство
groan|стенание|пъшкане
ridiculous|нелепо
tidbit|клюка
devastate|опропастявам
look out|бдителност
pick up|схващам
resign|предавам
