NoteBook стр. 3 Poker Sclansky
likelihood|вероятност
habitually|обичайно
offering|предлагане
thwart|осуети
decently|прилично
willing|склонен
advantage|предимство
broke|разорен
trey|тройка
rather|по-скоро
felt|чувствах
mistakenly|погрешно
blow|удар
tempt|изкушавам
ironically|по ирония на съдбата
default|напускам състезанието
fairly|сравнително
entices|примамва
break even|на нулата
worthnoting|заслужава да се отбележи
multiply|умножавам
hold|държа
occassionally|понякога
precede|предхождащ
minor|незначителен
rise|покачва
hammer|чук
nearly|почти
originally|първоначално
lay|полагам
possess|притежавам
mediocre|посредствен
atrocious|брутално
got away|измъкна
fade|замирам
obscure|неизвестен
blunder|грешка
incentive|стимул
affect|засегне
accurate|точно
strength|сила
least|най-малко
revolve|върти
blown|издухан
proficiency|опитност
dare|осмелявам се
reasonable|разумен
consistent|последователен
credible|правдоподобен
launch|почвам
retain|запазвам
paltry|нищожен
touger|труден
left|оставен
generally|обикновенно
extremely|извънредно
subtle|тънък
serve|поднасям
distribute|разпространявам
set|поставям
ultimate|краен
drop|пускам
violet|наруши
loom|показвам се постепенно
shade|нюанс
pipedream|празна надежда
merely|просто
worth|струва
regardless|независимо
alter|промени
upside|наопаки
seemingly|привидно
reckless|безрасъден
blithely|безгрижно
penalty|наказание
light|лек
harsher|суров
mere|чист|обикновен
mention|споменавам
portend|вещая
ominons|зловещ
event|събитие
rely|разчитам
behoove|подобрява
cloud|заоблачавам се
tight|стегнат
straightforward|прост|ясен
indeed|наистина
initial|првоначален
enterprise|предприемчивост
semi|полу
led|водя
substantial|съществен
peril|опасност
perceptive|проницателен
invite|покана
pick off|откъсвам
riff-raff|паплач
wisely|мъдро
unaware|който не знае
