NoteBook стр. 2 Poker Sclansky
gain|печалба
conversely|обратното
peculiar|особен
deception|измама
deduce|правя извод
holding|притежание
disguise|прикривам
indeed|наистина
blossom|появявам се
entice|подмамвам
deceive|заблуждавам
willing|склонен
permit|разрешавам
induce|убеждавам
off easy|лесно
tendency|склонност
astray|заблуден
particularly|особенно
suspicious|подозрителен
slightest|незначителен
profitable|доходен
make off|допринасям за
exploit|използвам
tailor|приспособявам
set up|настройвам
downtown|в центъра
likewise|подобно
fear|страхувам се
chase|преследвам
away|далеч
work out|излиза
peril|опасност
on average|средно
backward|колеблив
daring|смелост
opine|смятам
figure|мисля
horrendous|ужасяващо
avoid|отбягвам
whammy|уроки
habitually|обичайно
tire|изморявам
trigger|започвам
avalanche|лавина
proclivities|склонност
gouge|измервам точно
decent|благоприличен
likely|вероятно
though|въпреки че
irrelevant|неуместен
destined|отреден
make out|успявам
content|задоволявам
broke up|разделям
roughly|приблизително
abandon|изостави
upside|наопаки
downside|лошата страна
skittish|капризен
brewing|варене
timid|плах
laydown|слагам
particularly|особенно
advantage|предимство
juncture|положение
hopefully|да се надяваме
line|посока
intimidate|смущавам
merely|просто
either|един или друг
tough|труден
laydown|залагам
recently|наскоро
bogus|фалшив
break down|събарям
cumbersome|тромав
superfluous|излишен
imply|предполагам
odd|случай
cutt off|отрязвам
accidentally|случайно
aware|осведомен
clearly|ясно
roughly|приблизително
barely|едва
course|ход
though|въпреки че
underdog|победен
afford|позволим
break even|на нулата
instead|вместо
ahead|напред
threat|заплаха
remote|далечна
meanwhile|в същото време
narrow down|стесни
