ПИСС Думи
stems|произтича
patient|пациент
earthquake|заметресение
sustained|продължителен
rate|скорост
persistent|постоянен
propagation|разпространение
consistent|логичен
emergence|появяване
ubiquitous|повсеместен
wearable|годен за носене
harness|доспехи
provision|осигуряване
conference|конференция
dispense|освободи
bias|отклонение
pattern|модел
vendor|продавач
conformance|съответствия
denial|отричане
redundancy|съкращаване
concealment|укриване
aggregate|съвкупност
bind|връзвам
placement|разположение
tiered|диференцирани
persistent|упорит
brokerage|комисионна
ingredent|съставка
generalization|обобщение
bandwidth|честотна лента
consecutive|последователен
distort|изкривявам
invocation|призоваване
omit|пропускам
threat|заплаха
behalf|името
temper|фалшифицирам
marshal|нареждам
poll|гласуване
tolerance|непоносимост
replicate|репликира
identity|самоличност
occasional|случаен
